categoryName,brandName,productName,displayName,sku,barcode,costPrice,sellingPrice,gstRate,quantity
MCB,L&T,Tripper MCB,Tripper MCB 6A SP,LNT-TRP-6A-SP,8901234500080,118,152,18,42
MCB,L&T,Tripper MCB,Tripper MCB 16A SP,LNT-TRP-16A-SP,8901234500081,132,172,18,38
MCB,Siemens,Sentron MCB,Sentron 20A SP,SMS-SNT-20A,8901234500082,145,188,18,36
MCB,Siemens,Sentron MCB,Sentron 32A DP,SMS-SNT-32A,8901234500083,265,340,18,28
RCCB,L&T,Safe RCCB,Safe RCCB 40A 30mA,LNT-RCCB-40A,8901234500084,1180,1520,18,15
RCCB,Siemens,Sentron RCCB,Sentron RCCB 63A,SMS-RCCB-63A,8901234500085,1520,1920,18,10
ELCB,Havells,ELCB,ELCB 40A,HVL-ELCB-40A,8901234500086,980,1320,18,14
Switches,Panasonic,Modular Switch,Panasonic 6A 1 Way,PAN-SW-6A,8901234500087,58,92,18,95
Switches,Panasonic,Modular Switch,Panasonic Bell Push,PAN-SW-BELL,8901234500088,88,128,18,65
Switches,Crabtree,Classic Switch,Classic 16A Switch,CRB-16A-SW,8901234500089,78,118,18,72
Sockets,Panasonic,Modular Socket,Panasonic 6A Socket,PAN-SKT-6A,8901234500090,62,98,18,82
Sockets,Crabtree,Classic Socket,Classic 16A Socket,CRB-SKT-16A,8901234500091,118,178,18,50
Wire,KEI,House Wire,1 Sqmm White,KEI-1-WHT,8901234500092,670,870,18,24
Wire,KEI,House Wire,2.5 Sqmm Green,KEI-2.5-GRN,8901234500093,1520,1840,18,19
Wire,Universal,FRLS Wire,1.5 Sqmm Yellow,UNI-1.5-YLW,8901234500094,860,1080,18,26
Lighting,Bajaj,LED Bulb,7W Cool White,BJJ-7W-CW,8901234500095,48,82,12,140
Lighting,Bajaj,LED Flood Light,30W Flood Light,BJJ-30W-FLD,8901234500096,620,890,18,22
Lighting,Crompton,LED Panel,12W Slim Panel,CRP-12W-PNL,8901234500097,280,420,18,30
Fan,Bajaj,Ceiling Fan,1200mm Deco White,BJJ-FAN-WHT,8901234500098,1750,2350,18,16
Fan,Orient,Ceiling Fan,1200mm Energy Saver,ORI-ES-1200,8901234500099,2250,2890,18,9
Distribution Board,L&T,DB Box,12 Way SPN,LNT-DB-12W,8901234500100,1450,1820,18,8
Distribution Board,Siemens,DB Box,4 Way TPN,SMS-DB-4W,8901234500101,1180,1540,18,11
Conduit,AKG,Flexible Conduit,25mm Flex Pipe,AKG-FLX-25,8901234500102,145,205,18,140
Conduit,Precision,Flexible Conduit,20mm Flex Pipe,PRE-FLX-20,8901234500103,118,175,18,165
Indicator,Salzer,LED Indicator,Blue Indicator,SLZ-BLU,8901234500104,28,48,18,210
Indicator,Salzer,LED Indicator,White Indicator,SLZ-WHT,8901234500105,30,52,18,190
Modular Plate,Panasonic,Modular Plate,4 Module Plate,PAN-PLT-4M,8901234500106,35,58,18,120
Modular Plate,Crabtree,Classic Plate,12 Module Plate,CRB-PLT-12M,8901234500107,68,102,18,70
Sensor,Honeywell,Occupancy Sensor,Ceiling Occupancy Sensor,HNW-OCC-SNS,8901234500108,1250,1680,18,14
Sensor,CP Plus,Smoke Sensor,Photoelectric Smoke Sensor,CPP-SMK-SNS,8901234500109,1480,1980,18,12
Exhaust Fan,Usha,Exhaust Fan,10 Inch Ventilation Fan,USH-EXH-10,8901234500110,1580,2120,18,11
Cable Accessories,Dowells,Cable Tie,Nylon Cable Tie 100mm,DWL-TIE-100,8901234500111,45,78,18,600
Cable Accessories,Jainson,Copper Lug,Copper Lug 70 Sqmm,JNS-LUG-70,8901234500112,26,42,18,380
PVC Pipe,Ajay,PVC Pipe,2 Inch PVC Pipe,AJY-PVC-2,8901234500113,220,310,18,75
PVC Pipe,Supreme,PVC Pipe,1.25 Inch PVC Pipe,SPR-PVC-1.25,8901234500114,125,188,18,105
Lighting,Philips,Street Light,40W LED Street Light,PHL-ST-40W,8901234500115,1850,2450,18,18
Fan,Crompton,Wall Fan,400mm Wall Fan,CRP-WF-400,8901234500116,2450,3180,18,7
Switches,Anchor,Roma Plus Switch,Roma Plus 32A Switch,ANC-RP-32A,8901234500117,145,210,18,44
Sockets,GM,Four Five Socket,GM USB Charging Socket,GM-USB-SKT,8901234500118,185,275,18,36
Wire,Polycab,FRLSH Wire,4 Sqmm Black,PLY-4-BLK,8901234500119,2450,2950,18,15
MCB,Hager,Hager MCB,Hager 25A SP,HGR-25A-SP,8901234500120,168,220,18,31
