categoryName,brandName,productName,displayName,sku,barcode,costPrice,sellingPrice,gstRate,quantity
MCB,Legrand,DX3 MCB,DX3 MCB 6A SP,LGR-DX3-6A-SP,8901234500001,110,145,18,40
MCB,Legrand,DX3 MCB,DX3 MCB 10A SP,LGR-DX3-10A-SP,8901234500002,120,150,18,55
MCB,Legrand,DX3 MCB,DX3 MCB 16A SP,LGR-DX3-16A-SP,8901234500003,125,160,18,48
MCB,Legrand,DX3 MCB,DX3 MCB 20A SP,LGR-DX3-20A-SP,8901234500004,130,170,18,50
MCB,Legrand,DX3 MCB,DX3 MCB 32A DP,LGR-DX3-32A-DP,8901234500005,240,310,18,35
MCB,Schneider,Acti9 MCB,Acti9 MCB 6A SP,SCH-A9-6A-SP,8901234500006,115,148,18,60
MCB,Schneider,Acti9 MCB,Acti9 MCB 10A SP,SCH-A9-10A-SP,8901234500007,120,155,18,52
MCB,Schneider,Acti9 MCB,Acti9 MCB 16A SP,SCH-A9-16A-SP,8901234500008,128,165,18,45
MCB,Schneider,Acti9 MCB,Acti9 MCB 20A SP,SCH-A9-20A-SP,8901234500009,135,175,18,40
MCB,Schneider,Acti9 MCB,Acti9 MCB 32A DP,SCH-A9-32A-DP,8901234500010,250,320,18,32
MCB,Havells,Euro II MCB,Euro II 6A SP,HVL-E2-6A-SP,8901234500011,105,140,18,50
MCB,Havells,Euro II MCB,Euro II 10A SP,HVL-E2-10A-SP,8901234500012,112,145,18,44
MCB,Havells,Euro II MCB,Euro II 16A SP,HVL-E2-16A-SP,8901234500013,120,155,18,46
MCB,Havells,Euro II MCB,Euro II 20A SP,HVL-E2-20A-SP,8901234500014,126,165,18,39
MCB,Havells,Euro II MCB,Euro II 32A DP,HVL-E2-32A-DP,8901234500015,235,305,18,30
RCCB,Legrand,DX3 RCCB,DX3 RCCB 25A 30mA,LGR-RCCB-25A,8901234500016,950,1250,18,20
RCCB,Legrand,DX3 RCCB,DX3 RCCB 40A 30mA,LGR-RCCB-40A,8901234500017,1100,1450,18,18
RCCB,Schneider,Acti9 RCCB,Acti9 RCCB 25A,SCH-RCCB-25A,8901234500018,980,1280,18,22
RCCB,Schneider,Acti9 RCCB,Acti9 RCCB 40A,SCH-RCCB-40A,8901234500019,1150,1480,18,16
RCCB,Havells,RCCB,RCCB 63A 30mA,HVL-RCCB-63A,8901234500020,1450,1850,18,12
ELCB,Indoasian,ELCB,ELCB 32A,IND-ELCB-32A,8901234500021,850,1150,18,15
ELCB,Indoasian,ELCB,ELCB 63A,IND-ELCB-63A,8901234500022,1350,1750,18,12
Switches,Anchor,Roma Switch,Roma 6A 1 Way,ANC-ROMA-6A,8901234500023,45,70,18,100
Switches,Anchor,Roma Switch,Roma 16A,ANC-ROMA-16A,8901234500024,70,110,18,85
Switches,Legrand,Myrius Switch,Myrius 6A 1 Way,LGR-MYR-6A,8901234500025,65,95,18,90
Switches,Legrand,Myrius Switch,Myrius Bell Push,LGR-MYR-BELL,8901234500026,80,120,18,60
Switches,GM,Four Five Switch,GM 6A Switch,GM-45-6A,8901234500027,50,78,18,75
Switches,GM,Four Five Switch,GM Bell Push,GM-45-BELL,8901234500028,82,125,18,50
Sockets,Anchor,Roma Socket,Roma 6A Socket,ANC-SKT-6A,8901234500029,40,65,18,95
Sockets,Anchor,Roma Socket,Roma 16A Socket,ANC-SKT-16A,8901234500030,85,130,18,60
Sockets,Legrand,Myrius Socket,Myrius 6A Socket,LGR-SKT-6A,8901234500031,60,95,18,80
Sockets,Legrand,Myrius Socket,Myrius 16A Socket,LGR-SKT-16A,8901234500032,110,165,18,55
Sockets,GM,Four Five Socket,GM 6A Socket,GM-SKT-6A,8901234500033,58,88,18,72
Sockets,GM,Four Five Socket,GM 16A Socket,GM-SKT-16A,8901234500034,115,170,18,48
Wire,Polycab,FR Wire,1 Sqmm Red,PLY-1-RED,8901234500035,650,850,18,25
Wire,Polycab,FR Wire,1.5 Sqmm Black,PLY-1.5-BLK,8901234500036,850,1050,18,30
Wire,Polycab,FR Wire,2.5 Sqmm Blue,PLY-2.5-BLU,8901234500037,1450,1750,18,20
Wire,Finolex,FR Wire,1 Sqmm Yellow,FNX-1-YLW,8901234500038,640,840,18,22
Wire,Finolex,FR Wire,1.5 Sqmm Green,FNX-1.5-GRN,8901234500039,840,1040,18,28
Wire,Finolex,FR Wire,2.5 Sqmm Red,FNX-2.5-RED,8901234500040,1480,1800,18,18
Wire,RR Kabel,House Wire,1 Sqmm Blue,RR-1-BLU,8901234500041,620,820,18,20
Wire,RR Kabel,House Wire,1.5 Sqmm Red,RR-1.5-RED,8901234500042,830,1030,18,24
Lighting,Philips,LED Bulb,9W Warm White,PHL-9W-WW,8901234500043,55,95,12,120
Lighting,Philips,LED Bulb,12W Cool Daylight,PHL-12W-CDL,8901234500044,75,120,12,90
