categoryName,brandName,productName,displayName,sku,barcode,costPrice,mrp,profitMargin,gstRate,quantity
MCB,L&T,Tripper MCB,Tripper MCB 6A SP,LNT-TRP-6A-SP,8901234500080,118,152,29,18,42
MCB,L&T,Tripper MCB,Tripper MCB 16A SP,LNT-TRP-16A-SP,8901234500081,132,172,30,18,38
MCB,Siemens,Sentron MCB,Sentron 20A SP,SMS-SNT-20A,8901234500082,145,188,30,18,36
MCB,Siemens,Sentron MCB,Sentron 32A DP,SMS-SNT-32A,8901234500083,265,340,28,18,28
RCCB,L&T,Safe RCCB,Safe RCCB 40A 30mA,LNT-RCCB-40A,8901234500084,1180,1520,29,18,15
RCCB,Siemens,Sentron RCCB,Sentron RCCB 63A,SMS-RCCB-63A,8901234500085,1520,1920,26,18,10
ELCB,Havells,ELCB,ELCB 40A,HVL-ELCB-40A,8901234500086,980,1320,35,18,14
Switches,Panasonic,Modular Switch,Panasonic 6A 1 Way,PAN-SW-6A,8901234500087,58,92,58,18,95
Switches,Panasonic,Modular Switch,Panasonic Bell Push,PAN-SW-BELL,8901234500088,88,128,45,18,65
Switches,Crabtree,Classic Switch,Classic 16A Switch,CRB-16A-SW,8901234500089,78,118,51,18,72
Sockets,Panasonic,Modular Socket,Panasonic 6A Socket,PAN-SKT-6A,8901234500090,62,98,58,18,82
Sockets,Crabtree,Classic Socket,Classic 16A Socket,CRB-SKT-16A,8901234500091,118,178,51,18,50
Wire,KEI,House Wire,1 Sqmm White,KEI-1-WHT,8901234500092,670,870,30,18,24
Wire,KEI,House Wire,2.5 Sqmm Green,KEI-2.5-GRN,8901234500093,1520,1840,21,18,19
Wire,Universal,FRLS Wire,1.5 Sqmm Yellow,UNI-1.5-YLW,8901234500094,860,1080,26,18,26
Lighting,Bajaj,LED Bulb,7W Cool White,BJJ-7W-CW,8901234500095,48,82,71,12,140
Lighting,Bajaj,LED Flood Light,30W Flood Light,BJJ-30W-FLD,8901234500096,620,890,44,18,22
Lighting,Crompton,LED Panel,12W Slim Panel,CRP-12W-PNL,8901234500097,280,420,50,18,30
Fan,Bajaj,Ceiling Fan,1200mm Deco White,BJJ-FAN-WHT,8901234500098,1750,2350,34,18,16
Fan,Orient,Ceiling Fan,1200mm Energy Saver,ORI-ES-1200,8901234500099,2250,2890,28,18,9
Distribution Board,L&T,DB Box,12 Way SPN,LNT-DB-12W,8901234500100,1450,1820,25,18,8
Distribution Board,Siemens,DB Box,4 Way TPN,SMS-DB-4W,8901234500101,1180,1540,31,18,11
Conduit,AKG,Flexible Conduit,25mm Flex Pipe,AKG-FLX-25,8901234500102,145,205,41,18,140
Conduit,Precision,Flexible Conduit,20mm Flex Pipe,PRE-FLX-20,8901234500103,118,175,48,18,165
Indicator,Salzer,LED Indicator,Blue Indicator,SLZ-BLU,8901234500104,28,48,71,18,210
Indicator,Salzer,LED Indicator,White Indicator,SLZ-WHT,8901234500105,30,52,73,18,190
Modular Plate,Panasonic,Modular Plate,4 Module Plate,PAN-PLT-4M,8901234500106,35,58,66,18,120
Modular Plate,Crabtree,Classic Plate,12 Module Plate,CRB-PLT-12M,8901234500107,68,102,50,18,70
Sensor,Honeywell,Occupancy Sensor,Ceiling Occupancy Sensor,HNW-OCC-SNS,8901234500108,1250,1680,34,18,14
Sensor,CP Plus,Smoke Sensor,Photoelectric Smoke Sensor,CPP-SMK-SNS,8901234500109,1480,1980,34,18,12
Exhaust Fan,Usha,Exhaust Fan,10 Inch Ventilation Fan,USH-EXH-10,8901234500110,1580,2120,34,18,11
Cable Accessories,Dowells,Cable Tie,Nylon Cable Tie 100mm,DWL-TIE-100,8901234500111,45,78,73,18,600
